                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.44527,                 0.3985,                0.92896,                0.99356,                0.99444,                0.99195,                 0.8992,                0.44546,                0.32416,                0.92589,             0.00051015,             0.00051015,             0.00051015
                     70,                0.41615,                0.40378,                0.90178,                0.99102,                0.99298,                0.99216,                0.91746,                0.45441,                0.32222,                0.92736,             0.00050635,             0.00050635,             0.00050635
                     71,                0.42513,                0.38332,                0.90901,                0.99478,                0.99444,                0.99288,                0.91276,                0.43232,                0.33271,                0.89574,             0.00050254,             0.00050254,             0.00050254
                     72,                0.43133,                0.39951,                0.90933,                0.98801,                0.99444,                0.99296,                0.89963,                0.45194,                0.33501,                0.90528,             0.00049873,             0.00049873,             0.00049873
                     73,                0.44796,                0.39418,                0.92066,                0.99722,                0.99444,                0.99306,                0.89456,                0.44377,                0.31718,                0.89442,             0.00049493,             0.00049493,             0.00049493
                     74,                0.45008,                0.38971,                0.91502,                0.99468,                0.99355,                0.99207,                0.90018,                  0.439,                0.30774,                0.89884,             0.00049112,             0.00049112,             0.00049112
                     75,                0.41386,                0.38849,                0.91499,                0.99018,                0.99334,                0.99206,                0.88898,                0.46638,                 0.3396,                0.92321,             0.00048732,             0.00048732,             0.00048732
                     76,                0.41548,                0.37977,                0.91428,                0.99391,                0.97576,                0.98809,                0.90897,                0.43928,                0.32903,                0.90707,             0.00048351,             0.00048351,             0.00048351
                     77,                0.40718,                0.37559,                0.90356,                0.99471,                0.99313,                0.99199,                0.92188,                0.41938,                0.31138,                0.89706,              0.0004797,              0.0004797,              0.0004797
                     78,                0.41334,                0.37058,                0.89651,                0.96036,                0.98901,                0.99186,                 0.9057,                0.43573,                0.37677,                0.91824,              0.0004759,              0.0004759,              0.0004759
                     79,                0.43278,                0.38018,                0.90868,                0.99669,                0.99444,                0.99192,                0.89175,                0.47947,                 0.3361,                0.92105,             0.00047209,             0.00047209,             0.00047209
                     80,                 0.4212,                0.37923,                0.90471,                0.99161,                0.99386,                0.99179,                0.88039,                0.44793,                0.33453,                0.90027,             0.00046828,             0.00046828,             0.00046828
                     81,                0.40974,                0.36641,                0.90181,                0.99481,                0.99444,                  0.992,                0.88719,                0.48604,                0.30738,                0.93632,             0.00046448,             0.00046448,             0.00046448
                     82,                0.42844,                 0.3784,                 0.9311,                0.99711,                0.99444,                0.99216,                0.89961,                  0.458,                0.29646,                0.91514,             0.00046067,             0.00046067,             0.00046067
                     83,                0.39239,                0.37146,                0.88769,                0.99682,                0.99444,                0.99239,                0.91423,                0.44464,                0.29466,                0.91472,             0.00045686,             0.00045686,             0.00045686
                     84,                0.44154,                0.37564,                0.90995,                0.99675,                0.98264,                0.99203,                0.89827,                0.46629,                0.30849,                 0.9312,             0.00045306,             0.00045306,             0.00045306
                     85,                0.42842,                0.35893,                0.91819,                0.99166,                0.98564,                0.99194,                0.90814,                0.45405,                0.31273,                0.92488,             0.00044925,             0.00044925,             0.00044925
                     86,                0.38866,                0.35534,                0.89881,                0.98649,                0.98885,                0.99189,                0.88551,                0.47338,                0.35569,                0.93958,             0.00044544,             0.00044544,             0.00044544
                     87,                0.40715,                0.35606,                0.90626,                0.99657,                0.98527,                0.99184,                0.91116,                 0.4508,                0.28748,                0.92755,             0.00044164,             0.00044164,             0.00044164
                     88,                0.43357,                0.35044,                0.92254,                0.99118,                0.98568,                0.99174,                0.90259,                0.46879,                0.29544,                 0.9403,             0.00043783,             0.00043783,             0.00043783
                     89,                0.39875,                0.34159,                0.90585,                0.98993,                0.99238,                0.99172,                0.90532,                0.43647,                0.31048,                0.91102,             0.00043402,             0.00043402,             0.00043402
                     90,                0.41473,                0.36868,                0.90524,                0.97341,                0.99444,                0.99096,                0.90171,                0.41862,                 0.3203,                0.90882,             0.00043022,             0.00043022,             0.00043022
                     91,                0.41935,                0.35442,                0.91087,                0.99556,                0.99366,                0.99199,                0.86827,                0.56976,                0.38577,                 1.0318,             0.00042641,             0.00042641,             0.00042641
                     92,                0.41724,                0.34844,                0.91106,                0.98817,                0.98889,                0.99196,                0.90556,                0.43205,                0.32262,                0.91885,              0.0004226,              0.0004226,              0.0004226
                     93,                0.39137,                 0.3427,                0.88598,                0.99504,                0.99331,                 0.9922,                0.91512,                0.39872,                0.28164,                0.89446,              0.0004188,              0.0004188,              0.0004188
                     94,                0.41996,                0.34303,                0.90984,                0.99645,                 0.9769,                0.99135,                 0.9056,                 0.4359,                0.28829,                0.90464,             0.00041499,             0.00041499,             0.00041499
                     95,                  0.412,                0.34141,                0.90572,                 0.9907,                0.97592,                0.98175,                0.90101,                0.41393,                0.29092,                0.89426,             0.00041118,             0.00041118,             0.00041118
                     96,                0.39307,                0.33906,                0.89091,                0.99562,                0.98762,                0.99216,                0.92246,                0.41167,                0.28158,                 0.8931,             0.00040738,             0.00040738,             0.00040738
                     97,                0.40084,                0.34804,                0.90693,                0.99614,                0.98516,                0.99266,                0.90646,                 0.4091,                0.29481,                0.88399,             0.00040357,             0.00040357,             0.00040357
                     98,                0.41566,                0.34011,                0.90302,                0.99419,                 0.9769,                0.99218,                0.91173,                0.40565,                0.31654,                 0.8755,             0.00039976,             0.00039976,             0.00039976
                     99,                0.44868,                0.35652,                0.92237,                0.99702,                0.99384,                0.99288,                0.91652,                0.41077,                0.31408,                0.88006,             0.00039596,             0.00039596,             0.00039596
                    100,                0.41184,                0.34157,                0.90268,                0.98991,                0.99256,                0.99201,                0.88894,                0.43559,                0.32359,                0.88822,             0.00039215,             0.00039215,             0.00039215
                    101,                0.39286,                0.33241,                0.89016,                0.99546,                0.97678,                0.98656,                0.90211,                0.40221,                 0.3024,                0.89574,             0.00038835,             0.00038835,             0.00038835
                    102,                0.40798,                0.33211,                0.90045,                0.99456,                 0.9769,                0.98404,                 0.9191,                0.39724,                0.28774,                0.89535,             0.00038454,             0.00038454,             0.00038454
                    103,                0.40387,                0.33245,                0.89467,                 0.9883,                 0.9769,                0.98973,                0.90957,                0.41646,                0.30376,                0.88548,             0.00038073,             0.00038073,             0.00038073
                    104,                0.39923,                0.34095,                0.89999,                0.99148,                0.99318,                0.99191,                0.91984,                0.42302,                0.28106,                0.90032,             0.00037693,             0.00037693,             0.00037693
                    105,                0.39677,                 0.3214,                0.89935,                0.98633,                0.99325,                0.99198,                0.91394,                0.42436,                0.29351,                0.89295,             0.00037312,             0.00037312,             0.00037312
                    106,                0.40661,                0.33205,                0.91326,                0.99651,                 0.9813,                0.99209,                0.89067,                0.44769,                0.34476,                0.91689,             0.00036931,             0.00036931,             0.00036931
                    107,                0.38607,                0.32473,                0.89003,                0.99695,                0.99444,                0.99214,                0.92979,                0.40852,                0.26162,                0.90047,             0.00036551,             0.00036551,             0.00036551
                    108,                0.39588,                0.33402,                0.90257,                0.99208,                0.99444,                 0.9919,                0.91379,                0.42543,                0.28553,                0.89385,              0.0003617,              0.0003617,              0.0003617
                    109,                0.39799,                 0.3292,                0.90217,                0.99131,                0.99444,                0.99182,                0.91198,                0.40858,                0.31427,                 0.8877,             0.00035789,             0.00035789,             0.00035789
                    110,                0.39677,                0.32077,                0.91293,                0.98352,                0.99444,                0.99184,                0.91747,                0.40002,                0.30808,                0.88554,             0.00035409,             0.00035409,             0.00035409
                    111,                0.42835,                0.31521,                0.91592,                0.98944,                0.99444,                0.99196,                0.91682,                0.41404,                0.29341,                0.89897,             0.00035028,             0.00035028,             0.00035028
                    112,                0.38715,                0.30651,                0.88424,                0.99285,                0.99338,                0.99199,                0.91848,                0.40901,                0.30905,                0.89896,             0.00034647,             0.00034647,             0.00034647
                    113,                0.39715,                0.31186,                0.90263,                0.99598,                0.99399,                0.99193,                0.90145,                0.44871,                0.31594,                0.92149,             0.00034267,             0.00034267,             0.00034267
                    114,                 0.3845,                 0.3217,                0.90156,                0.99595,                0.99376,                0.99207,                0.92311,                0.39728,                0.27618,                 0.8998,             0.00033886,             0.00033886,             0.00033886
                    115,                 0.3993,                0.31474,                0.90526,                0.99546,                0.99444,                0.99205,                0.90178,                 0.4351,                0.30498,                0.91087,             0.00033505,             0.00033505,             0.00033505
                    116,                0.37253,                0.31696,                 0.8907,                0.99325,                0.99347,                0.99185,                0.92023,                0.40573,                0.28054,                0.90059,             0.00033125,             0.00033125,             0.00033125
                    117,                0.38384,                0.30378,                0.88959,                0.99008,                0.99298,                0.99185,                0.92373,                0.42757,                0.27299,                0.92218,             0.00032744,             0.00032744,             0.00032744
                    118,                0.39198,                0.31449,                0.89899,                0.99301,                0.99444,                0.99183,                0.91809,                0.40469,                0.29155,                0.89584,             0.00032363,             0.00032363,             0.00032363
                    119,                 0.4031,                0.31169,                0.90167,                0.99379,                0.99444,                0.99195,                0.91306,                0.41412,                0.28924,                0.90249,             0.00031983,             0.00031983,             0.00031983
                    120,                0.38231,                0.31305,                0.89638,                0.99079,                0.99444,                0.99203,                0.90423,                0.41847,                0.28338,                0.90875,             0.00031602,             0.00031602,             0.00031602
                    121,                0.40008,                0.31601,                0.89519,                0.99381,                0.99344,                0.99204,                0.90714,                0.43232,                0.27229,                0.91561,             0.00031221,             0.00031221,             0.00031221
                    122,                0.37666,                0.30724,                0.89614,                0.98991,                0.99337,                0.99198,                 0.9157,                0.43786,                0.26358,                0.93169,             0.00030841,             0.00030841,             0.00030841
                    123,                0.38001,                0.29933,                0.89836,                0.98964,                0.99333,                0.99206,                0.91513,                  0.433,                0.26818,                0.92646,              0.0003046,              0.0003046,              0.0003046
                    124,                0.35998,                0.28738,                 0.8725,                0.99029,                0.99281,                0.99219,                0.92679,                0.40085,                0.26286,                0.90555,             0.00030079,             0.00030079,             0.00030079
                    125,                0.40973,                0.30235,                0.91612,                0.99216,                0.99332,                0.99235,                0.92391,                0.40229,                0.28349,                 0.8981,             0.00029699,             0.00029699,             0.00029699
                    126,                0.38707,                0.30735,                0.88869,                0.99136,                 0.9932,                0.99226,                0.91128,                 0.4277,                0.29453,                0.90369,             0.00029318,             0.00029318,             0.00029318
                    127,                0.37176,                0.30269,                0.88904,                0.99744,                0.99444,                0.99209,                0.92229,                 0.4094,                0.27736,                0.90391,             0.00028937,             0.00028937,             0.00028937
                    128,                0.38495,                0.29351,                0.89286,                 0.9941,                0.99332,                0.99225,                0.91067,                0.42053,                0.27851,                 0.9181,             0.00028557,             0.00028557,             0.00028557
